"DOY" "Depth" "NPP"
52 20 7.02
52 40 5.78
52 60 2.64
52 80 0.76
52 100 0.28
52 120 0.23
52 140 0.11
63 1 24.28
63 20 17.71
63 40 7.37
63 60 3.17
63 80 0.72
63 100 0.63
63 120 0.24
63 140 0.2
80 1 11.67
80 20 13.82
80 40 10.96
80 60 7
80 80 2.88
80 100 1.07
80 120 0.39
80 140 0
92 1 5.56
92 20 6.17
92 40 6.48
92 60 5.21
92 80 3.41
92 100 3.13
92 120 0.36
92 140 0.1
93 1 14.36
93 20 16.99
93 40 16.22
93 60 17.18
93 80 3.31
93 100 0.74
93 120 0.3
93 140 0.27
140 1 5.56
140 20 6.17
140 40 6.48
140 60 5.21
140 80 3.41
140 100 3.13
140 120 0.36
140 140 0.1
185 1 4.56
185 20 6.01
185 40 6.52
185 60 5.97
185 80 4.14
185 100 3.89
185 120 1.2
185 140 0.15
196 1 6.49
196 20 6.08
196 40 7.12
196 60 5.69
196 80 3.53
196 100 1.36
196 120 1.01
196 140 0.44
224 1 4.45
224 20 6.14
224 40 5.33
224 60 4.83
224 80 3.12
224 100 1.53
224 120 1.08
224 140 1.11
262 1 7.28
262 20 5.87
262 40 5.56
262 60 7.24
262 80 6.28
262 100 1.92
262 120 0.39
262 140 0.08
276 1 5.11
276 20 6.16
276 40 4.87
276 60 7.65
276 80 2.87
276 100 1.39
276 120 0.24
276 140 0.03
308 1 5.8
308 20 6.14
308 40 4.73
308 60 3.46
308 80 4.37
308 100 0.74
308 120 0.21
336 1 4.6
336 20 5.38
336 40 4.05
336 60 3.13
336 80 2.14
336 100 1.75
336 120 0.36
27 1 15.92
27 20 14.52
27 40 8.31
27 60 3.09
27 80 0.97
27 100 0.12
45 1 11.24
45 20 13.29
45 40 7.24
45 60 5.34
45 80 2
45 100 0.78
45 120 0.34
45 140 0.1
55 1 14.41
55 20 15.54
55 40 11.46
55 60 5.2
55 80 1.93
55 100 0.58
55 120 0.15
55 140 0.08
70 1 8.61
70 20 1.34
70 40 2.24
70 60 1.21
70 80 0.45
70 100 0.35
70 120 0.16
70 140 0.12
83 1 8.67
83 20 3.82
83 40 6.77
83 60 1.36
83 80 1.58
83 100 0.75
83 120 0.14
83 140 0.01
98 1 13.73
98 20 14.68
98 40 4.09
98 60 5.96
98 80 1.74
98 100 0.72
98 120 0.16
98 140 0.05
112 1 21.12
112 20 1.33
112 40 0.51
112 60 2.09
112 80 3.79
112 100 1.31
112 120 0.14
112 140 0.18
139 1 1.46
139 20 1.38
139 40 0.89
139 60 0.42
139 80 5.39
139 100 3.14
139 120 0.77
139 140 0.2
167 1 5.74
167 20 5.94
167 40 5.86
167 60 3.81
167 80 2.65
167 100 0.1
167 120 1.37
167 140 0.63
196 1 0.7
196 20 4.95
196 40 3.03
196 60 1.46
196 80 2.23
196 100 1.23
196 120 1.15
196 140 0.39
230 1 3.44
230 20 4.35
230 40 4.91
230 60 2
230 80 3.66
230 100 2.47
230 120 1.95
230 140 0.65
258 1 5.22
258 20 5.33
258 40 5.04
258 60 3.7
258 80 2.96
258 100 2.47
258 120 0.59
258 140 0.12
287 1 0.64
287 20 0.22
287 40 0.46
287 60 0.61
287 80 0.47
287 100 0.13
287 120 0.13
287 140 0.22
317 1 5.27
317 20 0.34
317 40 4.03
317 60 2.55
317 80 0.76
317 140 0.02
343 1 0.44
343 20 3.96
343 40 0.47
343 60 0.37
343 80 1.09
343 100 1.66
343 120 0.3
343 140 0.1
27 1 1.89
27 20 1.08
27 40 5.3
27 60 2.74
27 80 0.99
27 100 0.23
27 120 0.13
27 140 0.01
39 1 2.17
39 20 12.8
39 40 7.21
39 60 1.09
39 80 1.71
39 100 0.53
39 120 0.1
39 140 0.16
55 1 10.54
55 20 17.05
55 40 11.35
55 60 0.53
55 80 1.9
55 100 0.5
55 120 0.15
55 140 0.05
67 1 17.31
67 20 18.45
67 40 11.47
67 60 5.08
