"DOY" "Depth" "DOC"
17 13.9 70.38
17 24.9 71.02
17 33.4 69.94
17 45.1 69.6
17 58.2 69.01
17 74.6 68.79
17 99.3 69.85
17 124.9 60.76
17 148.8 56.69
17 174.3 54.38
57 4.5 69.16
57 14.4 68.2
57 24 69.42
57 34.1 69.18
57 44.7 73.56
57 60.7 68.9
57 73.1 66.46
57 99.2 65.95
57 126 63.66
57 149.5 60.72
57 174.5 53.01
88 9.8 71.77
88 15.5 67.59
88 25.7 72.14
88 33.2 67.98
88 44.8 68.34
88 59.3 68.31
88 74 64.53
88 99.6 61.79
88 123.9 57.59
88 149.3 56.31
88 175.1 50.89
114 4.9 68.67
114 14.5 74.5
114 24.3 68.99
114 33.7 68.96
114 44.4 71.52
114 59 64.95
114 73.9 71.91
114 98.7 64.34
114 123.7 61.29
114 149.4 53.39
114 174.3 51.93
141 4.6 69.79
141 14.2 73.42
141 24.2 75.1
141 34.5 74.59
141 45.2 74.44
141 60.2 72.13
141 74.2 70.6
141 99.4 64.8
141 124.7 62.45
141 148.9 60.92
141 174.2 57.49
141 199.7 57.9
171 5.1 79.91
171 24.9 76.18
171 35.2 83.23
171 45.1 83.88
171 59.5 77.22
171 74.8 77.7
171 99.5 73.28
171 124.6 65.53
171 149.6 65.8
171 175.5 66.45
201 4.8 72.9
201 14.9 72.23
201 24.9 73.08
201 34.3 73.2
201 45 72.76
201 59.4 72.49
201 74.5 68.56
201 98.7 67.29
201 124.8 65.4
201 148.9 58.77
201 174 54.49
233 4.5 72.9
233 13.9 72.98
233 25.3 75.47
233 34.9 73.21
233 44.7 72.97
233 59.8 74.17
233 74.1 74.97
233 100.1 71.76
233 123.7 68.06
233 149.2 60.52
233 174.9 56.6
233 198.9 56.29
288 4.6 72.53
288 14.8 74.83
