"DOY" "Depth" "EUK"
354 45.8 0.026
354 76 0.029
354 101.1 0.029
354 123.1 0.01
354 149.2 0.002
354 175.1 0.001
29 5.8 0.018
29 24.5 0.016
29 45.7 0.017
29 74.5 0.014
29 99.7 0.018
29 150.5 0.002
54 7.4 0.015
54 27.8 0.016
54 46.4 0.012
54 76.6 0.009
54 126.3 0.009
54 151.7 0.003
54 176.6 0.001
148 7.5 0.035
148 26.1 0.021
148 46 0.012
148 75.6 0.015
148 101.1 0.006
148 125.6 0.003
148 150 0.008
148 175.6 0.003
177 9.2 0.013
177 24.6 0.009
177 44.1 0.009
177 74.2 0.011
177 99.2 0.007
177 124.3 0.021
177 149.5 0.007
177 174 0.001
208 8.4 0.007
208 25.3 0.005
208 44.7 0.009
208 75 0.009
208 100.9 0.005
208 125.3 0.011
208 150 0.004
208 176.1 0.001
229 6.2 0.007
229 24.9 0.008
229 43.7 0.012
229 74.3 0.009
229 100.1 0.015
229 125.6 0.007
229 150.2 0.003
229 174.3 0.001
284 6 0.01
284 24.5 0.008
284 44.2 0.008
284 74.3 0.009
284 99.2 0.015
284 124.1 0.009
284 148.9 0.003
284 174 0.001
335 10.1 0.01
335 22.3 0.01
335 43.3 0.009
335 76.7 0.01
335 100.2 0.009
335 121.8 0.016
335 147.5 0.004
335 175 0.001
20 6.6 0.012
20 24.6 0.011
20 45.3 0.009
20 74.4 0.014
20 99.6 0.012
20 125.3 0.009
20 150.4 0.005
48 6.7 0.011
48 24.8 0.01
48 45.4 0.009
48 74.9 0.01
48 100 0.023
48 126 0.01
48 150 0.003
48 173.9 0.001
118 5 0.014
118 25 0.013
118 44.7 0.016
118 75 0.016
118 99.8 0.024
118 125.1 0.011
118 150.1 0.004
118 175.2 0.001
147 7.2 0.007
147 27.1 0.009
147 47 0.007
147 76.9 0.007
147 101.9 0.007
147 126.7 0.017
147 151.7 0.007
147 176.8 0.003
184 8.2 0.006
184 25.1 0.008
184 44.7 0.011
184 74.4 0.012
184 100.1 0.009
184 125.9 0.02
184 150.1 0.007
184 175.3 0.004
205 7.6 0.007
205 24.9 0.009
205 45.1 0.009
205 75.4 0.013
205 99.9 0.008
205 124.9 0.008
205 150.2 0.004
205 175.3 0.001
230 8.3 0.008
230 24.5 0.007
230 46.1 0.008
230 75 0.008
230 100.7 0.007
230 124.4 0.007
230 151.3 0.007
230 176 0.003
267 5.4 0.006
267 25.1 0.007
267 44.6 0.008
267 74.7 0.01
267 99.8 0.021
267 125.2 0.008
267 150.2 0.003
267 176.7 0.002
307 4.6 0.012
307 24 0.009
307 44.7 0.009
307 75.2 0.009
307 99.4 0.021
307 127 0.009
307 149.6 0.003
307 171.4 0.001
343 4.7 0.009
343 24.4 0.009
343 44.3 0.013
343 75 0.008
343 99.9 0.011
343 126.5 0.008
343 151.6 0.004
69 4.7 0.013
69 25.5 0.013
