"DOY" "Depth" "SYN"
259 100.8 0.033
259 125.3 0.001
294 8.7 0.016
294 25.3 0.013
294 45.1 0.023
294 74.5 0.022
294 101.4 0.016
294 126 0.001
313 6.9 0.017
313 25 0.017
313 45.5 0.017
313 76.1 0.013
313 100.8 0.014
344 9 0.009
344 23.7 0.007
344 44.6 0.009
344 75 0.011
38 5.1 0.02
38 24.6 0.027
38 45.2 0.027
38 75.5 0.013
80 4.4 0.021
80 25 0.021
80 75.1 0.021
80 99.7 0.005
80 124.2 0.007
125 7.4 0.014
125 25.9 0.021
125 44.5 0.018
125 75.3 0.015
125 100.2 0.011
125 125.3 0.004
189 6.8 0.012
189 24.8 0.012
189 45.3 0.012
189 75.9 0.016
189 99.8 0.007
216 7.9 0.011
216 25.2 0.012
216 44.9 0.013
216 75.9 0.012
216 100.1 0.011
216 125.4 0.003
246 6.6 0.008
246 25.8 0.01
246 46 0.01
246 75.9 0.017
246 100.5 0.02
275 4.5 0.009
275 24.8 0.008
275 44.3 0.006
275 75.7 0.016
275 99 0.016
275 126 0.001
335 24.7 0.002
335 74.9 0.004
354 5.8 0.069
354 24 0.06
354 45.8 0.061
354 76 0.055
354 101.1 0.036
354 123.1 0.001
29 24.5 0.001
29 45.7 0.001
29 74.5 0.004
29 99.7 0.015
54 7.4 0.022
54 27.8 0.033
54 46.4 0.044
54 76.6 0.042
148 7.5 0.032
148 26.1 0.03
148 46 0.02
148 75.6 0.028
148 101.1 0.02
148 125.6 0.008
177 9.2 0.01
177 24.6 0.008
177 44.1 0.008
177 74.2 0.014
177 99.2 0.01
208 8.4 0.012
208 25.3 0.011
208 44.7 0.015
208 75 0.02
208 100.9 0.012
208 125.3 0.001
229 6.2 0.011
229 24.9 0.013
229 43.7 0.032
229 74.3 0.023
229 100.1 0.002
284 6 0.014
284 24.5 0.011
284 44.2 0.013
284 74.3 0.023
284 99.2 0.002
335 10.1 0.018
335 22.3 0.019
335 43.3 0.02
335 76.7 0.02
335 100.2 0.004
20 6.6 0.031
20 24.6 0.03
20 45.3 0.031
20 74.4 0.035
20 99.6 0.031
20 125.3 0.003
48 6.7 0.017
48 24.8 0.017
48 45.4 0.019
48 74.9 0.019
48 100 0.008
118 5 0.019
118 25 0.026
118 44.7 0.03
118 75 0.031
118 99.8 0.009
118 125.1 0.001
147 7.2 0.036
147 27.1 0.011
147 47 0.01
147 76.9 0.01
147 101.9 0.006
147 126.7 0.001
184 8.2 0.009
184 25.1 0.007
184 44.7 0.01
184 74.4 0.022
184 100.1 0.009
184 125.9 0.001
205 7.6 0.011
205 24.9 0.01
205 45.1 0.011
205 75.4 0.027
205 99.9 0.011
230 8.3 0.01
230 24.5 0.01
230 46.1 0.01
230 75 0.021
230 100.7 0.009
267 5.4 0.01
267 25.1 0.011
267 44.6 0.012
267 74.7 0.03
307 4.6 0.02
307 24 0.022
307 44.7 0.017
307 75.2 0.019
307 99.4 0.003
343 4.7 0.014
343 24.4 0.017
343 44.3 0.014
343 75 0.017
343 99.9 0.002
69 4.7 0.012
69 25.5 0.012
69 45.6 0.012
69 75.3 0.01
69 101.3 0.006
96 4.7 0.017
96 25.3 0.017
96 44.1 0.02
96 77.4 0.027
96 98.5 0.027
138 5 0.017
138 23.1 0.015
138 44.4 0.024
138 74.4 0.027
138 100.4 0.002
138 125.1 0.003
138 150.2 0.001
159 5.5 0.019
159 25.1 0.022
159 44.6 0.025
159 75.4 0.011
159 100.1 0.005
159 127.3 0.002
159 147.8 0.001
189 5.8 0.007
189 25.7 0.006
189 46.2 0.013
189 75.4 0.015
189 100.5 0.016
189 125.7 0.001
189 150.6 0.001
219 6 0.006
219 24.9 0.008
219 45.1 0.009
219 75.4 0.009
219 100.2 0.016
219 125.1 0.012
219 151.2 0.001
246 6.6 0.01
246 25 0.009
246 45 0.011
246 75.3 0.019
246 100.3 0.008
276 5.7 0.012
276 24.5 0.012
276 45.5 0.015
276 76 0.014
276 100.8 0.019
276 126 0.001
325 5.7 0.01
325 25.2 0.01
325 45 0.012
325 75.2 0.01
325 100.3 0.009
325 125.6 0.001
9 6.7 0.028
9 26.6 0.031
9 46.2 0.027
9 76.6 0.027
9 101.6 0.021
29 6.7 0.021
29 24.9 0.017
29 45.8 0.016
29 74.9 0.022
29 100 0.01
59 6.8 0.016
59 24.8 0.03
59 46.3 0.025
59 100.7 0.026
59 125.7 0.002
101 4.6 0.013
101 25.4 0.012
101 45.5 0.019
101 75 0.015
101 102.5 0.016
101 125.1 0.011
101 150.3 0.001
129 5.9 0.013
129 24.1 0.014
129 44 0.014
129 74.2 0.012
129 99.4 0.008
129 123.9 0.003
200 5.7 0.01
200 24.5 0.01
200 44.6 0.01
200 74.7 0.015
200 99.8 0.011
200 124.1 0.007
243 5.6 0.009
243 25.7 0.01
243 45.6 0.01
243 74.8 0.013
243 99.7 0.002
270 5.8 0.009
270 25.7 0.012
270 45.3 0.011
270 75.9 0.024
270 100.9 0.021
270 125.5 0.001
308 5.7 0.015
308 26 0.017
308 47.1 0.013
308 78.5 0.008
308 99.9 0.002
333 5.6 0.03
333 24.8 0.033
333 45.5 0.03
333 74.2 0.031
333 99.6 0.028
354 5.6 0.052
354 24.9 0.05
354 44.8 0.049
354 73.8 0.041
354 99.4 0.015
354 124 0.001
18 5.6 0.026
18 25.8 0.03
18 44.4 0.03
18 75.7 0.025
18 100.2 0.02
18 127.5 0.005
122 5.7 0.015
122 23.9 0.017
122 46.1 0.018
122 78.2 0.019
122 101.1 0.014
122 125.5 0.001
122 148.8 0.001
122 172.8 0.001
151 4.5 0.01
151 24.4 0.014
151 45.6 0.013
151 73.8 0.014
151 100.9 0.008
151 123.9 0.008
178 5 0.012
178 24.8 0.012
178 45.4 0.012
178 75.1 0.016
178 99.5 0.009
213 6.7 0.009
213 24.4 0.01
213 45.4 0.016
213 75.7 0.016
213 100.3 0.006
213 124.6 0.001
230 5.2 0.013
230 24.7 0.02
230 45.4 0.023
230 75.3 0.025
230 100.3 0.004
258 5.5 0.009
258 24.6 0.009
258 45.5 0.01
258 75.3 0.012
258 100.5 0.003
258 124.5 0.001
281 5.6 0.014
281 25.2 0.011
281 45.3 0.016
281 75.4 0.022
281 100.2 0.008
338 5.9 0.01
338 25.5 0.01
338 44.3 0.012
338 75.4 0.009
338 100.1 0.001
43 7.9 0.029
43 25.4 0.03
43 45.6 0.029
43 75.1 0.033
43 100 0.03
43 124.3 0.003
65 6.4 0.047
65 25.2 0.045
65 45.2 0.054
65 76.4 0.035
65 99.5 0.019
65 124.9 0.014
95 5.3 0.024
95 25.4 0.024
95 45.9 0.027
95 75.7 0.027
95 100 0.021
95 125.2 0.003
95 149 0.001
137 7.3 0.014
137 25 0.012
137 45.3 0.018
137 75.5 0.015
137 100.4 0.01
176 8 0.009
176 25.9 0.008
176 45.1 0.013
176 76.1 0.013
176 101.8 0.001
254 6.8 0.008
254 25.4 0.006
254 45.2 0.008
254 75.6 0.014
254 101.3 0.002
300 7.7 0.019
300 25.4 0.017
300 45.7 0.019
300 75.5 0.026
300 100.2 0.003
300 124.8 0.001
330 7.6 0.01
330 25.2 0.011
330 45.7 0.01
330 74.3 0.031
330 100.7 0.005
354 7.5 0.011
354 25.2 0.011
354 45.6 0.011
354 74.8 0.009
354 100.5 0.001
15 6.3 0.011
15 23.8 0.008
15 45.9 0.012
15 75.9 0.01
15 101.1 0.011
45 7.8 0.033
45 26.2 0.033
45 44.2 0.035
45 74.9 0.018
45 100.4 0.002
45 125.4 0.001
64 7 0.032
64 24.8 0.032
64 46.4 0.033
64 75.5 0.025
64 100.5 0.003
100 4.5 0.018
100 23.9 0.015
100 45 0.015
100 72.8 0.023
100 99.2 0.022
100 124.8 0.013
100 149.1 0.01
100 175 0.004
152 5.4 0.023
152 24.7 0.018
152 44.8 0.017
152 75.4 0.014
181 5.1 0.016
181 24.9 0.015
181 45.2 0.017
181 75.7 0.017
181 100 0.009
257 7.7 0.012
257 25.6 0.017
257 45.1 0.013
257 75.3 0.043
257 100.2 0.005
257 125.1 0.001
286 8 0.008
286 24.9 0.008
286 45.8 0.01
286 74.1 0.024
286 100.3 0.005
325 6.9 0.015
325 25.4 0.021
325 44.7 0.016
325 74.4 0.013
325 100.4 0.001
350 7.4 0.015
350 25.1 0.017
350 44.5 0.016
350 75.3 0.016
350 100.6 0.005
