"DOY" "Depth" "C2N"
50 175.9 6.54761904761904
78 5.4 7.75735294117648
78 24.8 8.7341772151899
78 44.6 8.1818181818182
78 74.3 7.6872964169381
78 99.6 6.95804195804196
78 125.7 7.92079207920792
78 150.8 7.45098039215689
78 174.6 7.50000000000002
109 5.1 8.2641509433962
109 25.5 7.40614334470992
109 150 4.34782608695652
109 174.6 4.91017964071856
140 5.2 6.62447257383966
140 24.8 6.62790697674419
140 44.9 6.82170542635659
140 74.5 6.60377358490568
140 99.2 6.5587044534413
140 124.8 6.29999999999999
140 150.7 6.14349775784754
140 174.4 6.2121212121212
170 4.9 7.8853046594982
170 24.6 7.76666666666666
170 45 7.91277258566975
170 75.1 7.41433021806853
170 109.8 7.16599190283401
170 124.9 6.97674418604653
170 149.1 7.42424242424245
170 174.1 6.42857142857141
200 4.5 8.2720588235294
200 25.4 8.35125448028676
200 44.9 7.7485380116959
200 75.3 8.41911764705884
200 99.4 7.65217391304349
200 125.7 7.80590717299579
200 150.1 7.18562874251495
200 174.9 7.61904761904762
231 5.2 8.31683168316833
231 25.2 8.80778588807786
231 45.3 7.77227722772275
231 74.9 7.58196721311475
231 100.1 6.56410256410256
231 125.1 6.80672268907561
231 149.4 7.50000000000002
231 175.3 6.42857142857141
263 5.2 7.43902439024389
263 25.6 7.7910447761194
263 75.4 7.49185667752444
263 75.4 7.74390243902436
263 100.1 7.50957854406133
263 125.1 6.32911392405063
263 149.9 6.72268907563025
263 175.2 6.42857142857141
292 5.6 6.73333333333331
292 25.2 6.86468646864686
292 44.9 8.56603773584905
292 75.5 8.0514705882353
292 99.9 6.84813753581664
292 125.3 6.82170542635659
292 150.7 6.49999999999999
292 175.1 6.25899280575539
323 4.8 6.90566037735849
323 25.1 6.82835820895522
323 44.9 6.89243027888447
323 74.9 6.43333333333333
323 99.3 6.30434782608697
323 125.4 6.27450980392157
323 149.7 6.28571428571429
323 175.8 6.26373626373625
354 5.5 6.08187134502924
354 26.1 6.15635179153096
354 44.9 5.73289902280131
354 75.3 5.38216560509555
354 100.8 5.03184713375796
354 126.8 4.78468899521531
354 150.9 5.30303030303029
354 175.6 5.0420168067227
354 249.5 4.88095238095238
19 5.7 6.41693811074917
19 25.9 6.46376811594204
19 45.7 6.16959064327486
19 75.8 6.1433447098976
19 100.7 5.16363636363636
19 125.5 4.84304932735427
19 150.7 5.26595744680851
19 175.9 5.16339869281047
50 5.4 6.66666666666667
50 25.2 6.46864686468646
50 44.6 6.59498207885303
50 75.2 5.73289902280131
50 100.6 6.45522388059701
50 125.7 6.30434782608697
