"DOY" "Depth" "DIP"
141 55.1 0.0215
141 74.7 0.0205
141 95.3 0.01
141 106.3 0.0117
141 116.4 0.04
141 124.5 0.0352
141 134.8 0.04
141 150.1 0.1064
141 176.4 0.1182
141 203.8 0.2441
141 246.8 0.33
256 12 0.05
256 46.7 0.03
257 210.5 0.23
257 226.5 0.37
257 235.6 0.45
257 5.4 0.0361
257 15.6 0.0469
257 25.6 0.0459
257 36.7 0.0439
257 46.6 0.0215
257 61.4 0.03
257 76.2 0.041
257 86.5 0.03
257 96.4 0.04
257 105.9 0.0791
257 116.2 0.06
257 125.6 0.1016
257 136.3 0.1367
257 154.2 0.2285
257 177.7 0.3252
257 200.9 0.4005
301 5.5 0.05
301 50.2 0.03
301 6.9 0.03
301 37 0.01
301 44.5 0.01
301 85.3 0.03
301 117.3 0.07
301 171.2 0.35
301 226.7 0.52
302 221.2 0.44
302 238.3 0.59
302 7.1 0.05
302 17.2 0.0088
302 27.1 0.0566
302 37.3 0.043
302 48.4 0.0488
302 58.5 0.0293
302 80.3 0.0283
302 78.9 0.01
302 93.4 0.01
302 105.2 0.0596
302 117.8 0.04
302 125 0.1123
302 138.4 0.11
302 148.9 0.3027
302 176.8 0.4239
302 197.4 0.5138
19 106.5 0.07
20 7.3 0.05
20 42.1 0.05
20 87.3 0.05
20 93.8 0.05
20 98.4 0.06
20 128.1 0.13
20 160.7 0.13
20 199.3 0.19
20 223.8 0.3
20 226.1 0.26
20 234.2 0.28
20 7.5 0.0508
20 17.1 0.0605
20 27.3 0.0654
20 36.7 0.0644
20 62.9 0.0547
20 76.6 0.0869
20 85.8 0.0518
20 96.1 0.0771
20 106.4 0.084
20 114.6 0.0644
20 125.7 0.1103
20 136.4 0.09
20 153.1 0.1601
20 168.8 0.1328
20 204.6 0.2002
22 5.4 0.06
47 5.7 0.1
47 79.6 0.09
48 6.7 0.07
48 12.3 0.06
48 28.4 0.06
48 52.3 0.06
48 97.9 0.05
48 120.5 0.05
48 148.5 0.09
48 176 0.21
48 194.7 0.25
48 226 0.31
48 199 0.2568
48 226.2 0.31
48 236.1 0.33
48 4.8 0.0195
48 15 0.0205
48 25.4 0.0146
48 35 0.0176
48 44.9 0.0137
48 61.4 0.0117
48 77.8 0.0225
48 85.6 0.07
48 95.4 0.07
48 106.1 0.0117
48 114.4 0.06
48 125.5 0.0225
48 135.2 0.06
48 150.4 0.0195
67 14.5 0.07
67 159 0.09
67 6.9 0.07
67 17.9 0.07
67 39.9 0.05
67 115.7 0.07
67 124.8 0.08
67 143.7 0.08
67 197.3 0.16
68 234.9 0.21
68 4.6 0.0303
68 14.9 0.0303
68 25.2 0.0303
68 36.8 0.0342
68 45.5 0.0371
68 60.1 0.0244
68 75 0.0205
68 83.3 0.04
68 95.2 0.04
68 104.9 0.0322
68 115.9 0.04
68 125.8 0.041
68 135 0.05
68 149.2 0.0674
68 159.5 0.07
68 174.7 0.0693
68 200.4 0.084
169 179.4 0.1
169 4.5 0.08
169 36.6 0.08
169 65.5 0.05
169 100.4 0.04
169 125.3 0.07
169 193.4 0.15
169 245.6 0.39
170 210.4 0.22
170 226.3 0.29
170 235.5 0.33
170 5.1 0.0586
170 14.9 0.0586
170 24.7 0.0606
170 44.6 0.042
170 59.7 0.0176
170 75.4 0.0195
170 84.7 0.04
170 95.7 0.0371
170 105.1 0.0547
170 113.8 0.0586
170 125.3 0.0674
170 136.6 0.0752
170 150.6 0.0947
170 157.4 0.1064
170 175.1 0.1279
170 185.2 0.14
170 201.4 0.2129
205 4.4 0.06
205 155.8 0.15
206 5.4 0.07
206 16.3 0.07
206 24 0.06
206 48.5 0.06
206 77.1 0.05
206 119.5 0.05
206 164 0.14
206 172.9 0.17
206 199.6 0.26
206 242.2 0.35
206 200.4 0.15
206 210.8 0.18
206 223.9 0.21
206 236.7 0.24
206 247.9 0.27
206 4.7 0.0498
206 14.8 0.0518
206 24.6 0.0518
206 34.2 0.0654
206 43.8 0.0449
206 59.8 0.0527
206 74.3 0.0371
206 84.3 0.02
206 94.9 0.02
206 104.2 0.0508
206 115.3 0.03
206 124.2 0.0713
206 134.4 0.07
206 149.6 0.1699
206 175 0.2353
206 201.3 0.3389
241 5.3 0.04
241 120.2 0.14
241 5 0.06
241 64 0.05
241 76.2 0.04
241 115.3 0.08
241 133.5 0.15
241 165.5 0.18
241 208.9 0.18
241 230.8 0.41
242 210.3 0.27
242 223.7 0.41
242 234.9 0.46
242 249.2 0.51
242 4.5 0.0264
242 14.6 0.0557
242 25.2 0.043
242 35.2 0.0342
242 44.6 0.0313
242 59.6 0.041
242 75.9 0.0254
242 85 0.03
242 94.4 0.05
242 105.5 0.083
242 115 0.12
242 125.1 0.1865
242 135.4 0.18
242 150.4 0.1982
242 175.6 0.2549
242 200.7 0.1914
266 5.4 0.0567
266 15.1 0.041
266 25 0.0449
266 35 0.0488
266 44.6 0.042
266 59.9 0.041
266 75.2 0.0254
266 95.1 0.0664
266 105.2 0.0703
266 124.1 0.0859
266 149.6 0.0986
266 174.4 0.1445
266 200 0.1943
287 4.7 0.05
287 80.4 0.05
287 4.8 0.08
287 60.2 0.04
287 70.9 0.05
287 82.1 0.06
287 99.9 0.07
287 120.1 0.1
287 150.7 0.13
287 177.2 0.15
287 199.8 0.21
287 225.3 0.27
288 4.4 0.06
288 225.2 0.27
288 235.3 0.31
288 5 0.0176
288 14.6 0.0147
288 25 0.0205
288 34.3 0.0156
288 44.6 0.0088
288 59.5 0.0098
288 74.5 0.0215
288 84.2 0.04
288 94.7 0.0352
288 104.7 0.0547
288 115.3 0.07
288 124.7 0.1055
288 134.8 0.11
288 149.5 0.1162
288 174.4 0.1523
288 200.8 0.2266
324 224.2 0.29
324 234.4 0.32
324 5.3 0.0332
324 14.8 0.0361
324 25.2 0.0332
324 34.2 0.0342
324 43.2 0.0293
324 58.7 0.0264
324 74 0.0264
324 86.5 0.01
324 102.3 0.0391
324 115.7 0.04
324 125.2 0.083
324 135.4 0.03
324 150.6 0.1367
324 173 0.1973
325 4.7 0.03
325 49.5 0.02
325 103.8 0.02
325 109.5 0.01
325 117.7 0.02
325 136.4 0.05
325 160.4 0.05
325 234.9 0.37
325 5.9 0.06
325 121.6 0.08
36 4.7 0.16
36 249.6 0.73
36 5.3 0.15
36 41.2 0.11
36 49.8 0.1
36 74.2 0.09
36 118.8 0.07
36 129.6 0.09
36 159 0.23
36 193.9 0.27
36 210.2 0.25
37 209.6 0.35
37 225 0.39
37 234.3 0.42
37 249.5 0.61
37 4.9 0.1866
37 14.9 0.1534
37 23.2 0.1612
37 34.1 0.1583
37 43.8 0.1573
37 59.8 0.0948
37 74.9 0.0723
37 84.8 0.09
37 95.5 0.09
37 104.3 0.0713
37 113.5 0.1
37 123.8 0.1182
37 133.6 0.14
37 149.8 0.0996
37 160.2 0.17
37 175.1 0.4327
37 184.4 0.33
37 199.5 0.376
39 124.5 0.08
39 150 0.18
39 175.5 0.36
39 199.4 0.29
39 225.2 0.34
62 5.1 0.09
62 101.3 0.13
63 6 0.11
63 53.2 0.09
63 75.9 0.07
63 90.4 0.07
63 140.1 0.15
63 197 0.38
63 215.4 0.41
63 209.8 0.44
63 225.6 0.51
63 234 0.55
63 5.5 0.127
63 15 0.1221
63 25.5 0.1153
63 34 0.1162
63 44.7 0.0986
63 57.9 0.1104
63 78 0.126
63 85.2 0.11
63 96 0.12
63 106.3 0.19
63 111.9 0.2236
63 123.6 0.2998
