"DOY" "Depth" "PON"
88 123.6 0.247
88 148.8 0.162
88 175.4 0.121
88 200.8 0.09
88 248.5 0.076
88 343.8 0.055
88 343.6 0.058
114 4.1 0.275
114 24.9 0.264
114 44.1 0.327
114 74.8 0.326
114 99.4 0.288
114 124.2 0.339
114 148.6 0.19
114 173.5 0.131
114 199 0.096
114 249.1 0.078
114 351 0.054
114 351 0.056
141 4.2 0.254
141 24.3 0.262
141 43.9 0.296
141 74.2 0.29
141 124.9 0.251
141 149.8 0.227
141 174.7 0.122
141 199.5 0.099
141 249.4 0.075
141 351.6 0.054
141 351 0.055
170 5 0.325
170 25 0.272
170 45 0.278
170 74.3 0.256
170 99.8 0.252
170 125.1 0.253
170 149.6 0.237
170 174.9 0.092
170 199.6 0.099
170 249.3 0.088
170 349.4 0.057
170 349.4 0.052
201 4.4 0.297
201 24.3 0.279
201 44.2 0.329
201 74.3 0.331
201 99.2 0.298
201 124.1 0.253
201 149.6 0.125
201 175.9 0.081
201 201.2 0.083
201 248.2 0.066
201 349.2 0.051
201 349.3 0.054
233 4.9 0.298
233 24.4 0.319
233 44.4 0.346
233 74.2 0.359
233 100.2 0.33
233 124.3 0.223
233 149.6 0.142
233 175 0.121
233 200.2 0.107
233 250 0.074
233 349.3 0.054
233 349.4 0.054
288 4.3 0.333
288 23.7 0.374
288 44.4 0.326
288 75 0.374
288 99.4 0.292
288 125.1 0.194
288 150.6 0.124
288 175.5 0.093
288 199.1 0.084
288 252.9 0.074
288 352 0.057
288 352 0.053
314 5.3 0.278
314 25.7 0.281
314 45.7 0.285
