"DOY" "Depth" "PON"
354 125.7 0.11
354 149.1 0.086
354 176.3 0.072
354 199.5 0.065
20 4.9 0.276
20 23.7 0.258
20 45 0.266
20 74.3 0.288
20 98.6 0.26
20 125.7 0.252
20 150.3 0.186
20 173.6 0.127
20 199 0.091
20 248.7 0.084
51 4.5 0.24
51 24.5 0.258
51 44.2 0.238
51 75.8 0.227
51 98.9 0.228
51 123.8 0.141
51 149.2 0.1
51 175.4 0.08
51 198.1 0.078
79 4.6 0.26
79 24.6 0.266
79 44.5 0.257
79 74.8 0.263
79 99.8 0.235
79 124.3 0.207
79 148.5 0.155
79 173.9 0.1
79 199.5 0.078
79 249.1 0.069
140 4.3 0.273
140 25.2 0.271
140 44.9 0.31
140 75.1 0.274
140 124.3 0.239
140 150.5 0.113
140 174.2 0.092
140 200.7 0.065
171 4.4 0.268
171 24 0.274
171 44.3 0.307
171 74 0.322
171 99.4 0.261
171 123.8 0.212
171 149.4 0.128
171 174.6 0.098
171 199.4 0.082
233 5 0.305
233 24.2 0.296
233 45.6 0.294
233 74.5 0.313
233 100.4 0.272
233 123 0.249
233 149.6 0.159
233 174.8 0.111
233 201.1 0.111
233 248 0.077
293 5.3 0.345
293 25.7 0.348
293 44.9 0.401
293 75.2 0.289
293 101 0.301
293 126.1 0.251
293 151.3 0.124
293 177 0.119
293 203.6 0.098
293 248 0.085
325 4.9 0.206
325 24.6 0.294
325 44.6 0.312
325 75.1 0.327
325 99.9 0.256
325 125.3 0.215
325 150 0.134
325 175.3 0.104
325 199.4 0.117
324 4 0.265
324 24.8 0.303
324 44.9 0.284
324 74.1 0.287
324 99.4 0.252
324 124.8 0.152
324 149.9 0.108
324 174.3 0.091
324 199.4 0.087
354 4.9 0.28
354 24.7 0.257
354 43.8 0.285
354 76.1 0.269
354 100.3 0.272
354 124.4 0.242
354 150.1 0.124
354 174.9 0.099
354 199.5 0.087
20 4.4 0.275
20 25 0.288
20 43.3 0.286
20 73.7 0.281
20 101 0.266
20 125.6 0.156
20 147.9 0.112
20 174.2 0.09
20 199.5 0.087
20 249.4 0.077
51 4.8 0.255
51 24 0.258
51 45 0.279
51 73.5 0.233
51 98.7 0.282
51 125.6 0.211
51 148.3 0.119
51 173.1 0.102
51 199 0.093
51 249.7 0.085
79 8.9 0.311
79 25.4 0.306
79 44.2 0.303
79 74.9 0.289
79 99.9 0.245
79 123.6 0.247
79 148.8 0.162
79 175.4 0.121
79 200.8 0.09
79 248.5 0.076
111 4.1 0.275
111 24.9 0.264
111 44.1 0.327
111 74.8 0.326
111 99.4 0.288
111 124.2 0.339
111 148.6 0.19
111 173.5 0.131
111 199 0.096
111 249.1 0.078
140 4.2 0.254
140 24.3 0.262
140 43.9 0.296
